pdf,xlsx,jalali_date,records,engine
Supplement20241226.pdf,Supplement20241226.xlsx,6 دی 1403,80,pypdf
Supplements20250115.pdf,Supplements20250115.xlsx,26 دی 1403  (از نام فایل),134,pdfplumber
Supplements20250116.pdf,Supplements20250116.xlsx,27 دی 1403  (از نام فایل),164,pdfplumber
Supplements20250118.pdf,Supplements20250118.xlsx,29 دی 1403  (از نام فایل),171,pdfplumber
Supplements20250120.pdf,Supplements20250120.xlsx,1 بهمن 1403  (از نام فایل),28,pdfplumber
Supplements20250123.pdf,Supplements20250123.xlsx,4 بهمن 1403  (از نام فایل),118,pdfplumber
Supplements20250126.pdf,Supplements20250126.xlsx,7 بهمن 1403,87,pdfplumber
Supplements20250130.pdf,Supplements20250130.xlsx,11 بهمن 1403,12,pdfplumber
Supplements20250203.pdf,Supplements20250203.xlsx,15 بهمن 1403,15,pdfplumber
Supplements20250206.pdf,Supplements20250206.xlsx,18 بهمن 1403,12,pdfplumber
Supplements20250209.pdf,Supplements20250209.xlsx,21 بهمن 1403,38,pdfplumber
Supplements20250212.pdf,Supplements20250212.xlsx,24 بهمن 1403,18,pdfplumber
Supplements20250213.pdf,Supplements20250213.xlsx,25 بهمن 1403,18,pdfplumber
Supplements20250220.pdf,Supplements20250220.xlsx,2 اسفند 1403,51,pdfplumber
Supplements20250222.pdf,Supplements20250222.xlsx,4 اسفند 1403,28,pdfplumber
Supplements20250223.pdf,Supplements20250223.xlsx,5 اسفند 1403,18,pdfplumber
Supplements20250224.pdf,Supplements20250224.xlsx,6 اسفند 1403,21,pdfplumber
Supplements20250225.pdf,Supplements20250225.xlsx,7 اسفند 1403,37,pdfplumber
Supplements20250226.pdf,Supplements20250226.xlsx,8 اسفند 1403,19,pdfplumber
Supplements20250227.pdf,Supplements20250227.xlsx,9 اسفند 1403,15,pdfplumber
Supplements20250303.pdf,Supplements20250303.xlsx,13 اسفند 1403,9,pdfplumber
Supplements20250308.pdf,Supplements20250308.xlsx,18 اسفند 1403,19,pdfplumber
Supplements20250309.pdf,Supplements20250309.xlsx,19 اسفند 1403,18,pdfplumber
Supplements20250312.pdf,Supplements20250312.xlsx,22 اسفند 1403,32,pdfplumber
Supplements20250316.pdf,Supplements20250316.xlsx,26 اسفند 1403,26,pdfplumber
Supplements20250329.pdf,Supplements20250329.xlsx,9 فروردین 1404,33,pdfplumber
Supplements20250406.pdf,Supplements20250406.xlsx,17 فروردین 1404,13,pdfplumber
Supplements20250408.pdf,Supplements20250408.xlsx,19 فروردین 1404,11,pdfplumber
Supplements20250413.pdf,Supplements20250413.xlsx,24 فروردین 1404,16,pdfplumber
Supplements20250415.pdf,Supplements20250415.xlsx,26 فروردین 1404,28,pdfplumber
Supplements20250417.pdf,Supplements20250417.xlsx,28 فروردین 1404,17,pdfplumber
Supplements20250419.pdf,Supplements20250419.xlsx,30 فروردین 1404,17,pdfplumber
Supplements20250421.pdf,Supplements20250421.xlsx,1 اردیبهشت 1404,8,pdfplumber
Supplements20250426.pdf,Supplements20250426.xlsx,6 اردیبهشت 1404,20,pdfplumber
Supplements20250427.pdf,Supplements20250427.xlsx,7 اردیبهشت 1404,30,pdfplumber
Supplements20250428.pdf,Supplements20250428.xlsx,8 اردیبهشت 1404,15,pdfplumber
Supplements20250430.pdf,Supplements20250430.xlsx,10 اردیبهشت 1404,13,pdfplumber
Supplements20250501.pdf,Supplements20250501.xlsx,11 اردیبهشت 1404,26,pdfplumber
Supplements20250504.pdf,Supplements20250504.xlsx,14 اردیبهشت 1404,24,pdfplumber
Supplements20250505.pdf,Supplements20250505.xlsx,15 اردیبهشت 1404,13,pdfplumber
Supplements20250508.pdf,Supplements20250508.xlsx,18 اردیبهشت 1404,19,pdfplumber
Supplements20250511.pdf,Supplements20250511.xlsx,21 اردیبهشت 1404,16,pdfplumber
Supplements20250514.pdf,Supplements20250514.xlsx,24 اردیبهشت 1404,28,pdfplumber
Supplements20250519.pdf,Supplements20250519.xlsx,29 اردیبهشت 1404,29,pdfplumber
Supplements20250520.pdf,Supplements20250520.xlsx,30 اردیبهشت 1404,26,pdfplumber
Supplements20250521.pdf,Supplements20250521.xlsx,31 اردیبهشت 1404,23,pdfplumber
Supplements20250524.pdf,Supplements20250524.xlsx,3 خرداد 1404,11,pdfplumber
Supplements20250525.pdf,Supplements20250525.xlsx,4 خرداد 1404,11,pdfplumber
Supplements20250526.pdf,Supplements20250526.xlsx,5 خرداد 1404,32,pdfplumber
Supplements20250527.pdf,Supplements20250527.xlsx,6 خرداد 1404,16,pdfplumber
Supplements20250529.pdf,Supplements20250529.xlsx,8 اردیبهشت 1404,11,pdfplumber
Supplements202506.pdf,Supplements202506.xlsx,16 اردیبهشت 1404,7,pdfplumber
Supplements20250601.pdf,Supplements20250601.xlsx,11 خرداد 1404,20,pdfplumber
Supplements20250602.pdf,Supplements20250602.xlsx,12 خرداد 1404,8,pdfplumber
Supplements20250607.pdf,Supplements20250607.xlsx,17 خرداد 1404,19,pdfplumber
Supplements20250609.pdf,Supplements20250609.xlsx,19 خرداد 1404,11,pdfplumber
Supplements20250612.pdf,Supplements20250612.xlsx,22 خرداد 1404,22,pdfplumber
Supplements20250617.pdf,Supplements20250617.xlsx,27 خرداد 1404,12,pdfplumber
Supplements20250621.pdf,Supplements20250621.xlsx,31 خرداد 1404,15,pdfplumber
Supplements20250625.pdf,Supplements20250625.xlsx,4 تیر 1404,29,pdfplumber
Supplements20250626.pdf,Supplements20250626.xlsx,5 تیر 1404,23,pdfplumber
Supplements20250628.pdf,Supplements20250628.xlsx,7 تیر 1404,13,pdfplumber
Supplements20250630.pdf,Supplements20250630.xlsx,9 تیر 1404,10,pdfplumber
Supplements202507.pdf,Supplements202507.xlsx,17 اردیبهشت 1404,10,pdfplumber
Supplements20250703.pdf,Supplements20250703.xlsx,12 تیر 1404,18,pdfplumber
Supplements20250707.pdf,Supplements20250707.xlsx,16 تیر 1404,18,pdfplumber
Supplements20250708.pdf,Supplements20250708.xlsx,17 تیر 1404,14,pdfplumber
Supplements20250709.pdf,Supplements20250709.xlsx,18 تیر 1404,18,pdfplumber
Supplements20250710.pdf,Supplements20250710.xlsx,19 تیر 1404,8,pdfplumber
Supplements20250713.pdf,Supplements20250713.xlsx,22 تیر 1404,21,pdfplumber
Supplements20250714.pdf,Supplements20250714.xlsx,23 تیر 1404,9,pdfplumber
Supplements20250715.pdf,Supplements20250715.xlsx,24 تیر 1404,10,pdfplumber
